cage code,animal code,model,drug,Weight_W1,Weight_W2,Weight_W3,Weight_W4,Euthanisation_Weight,OF_Distance_totalcm,OF_Velocity_meancms,FST_preswim_strug,FST_preswim_swim,FST_preswim_imm,FST_swim_strug,FST_swim_swim,FST_swim_imm,EPM_close_freq,EPM_close_secs,EPM_open_freq,EPM_open_secs,EPM_open_latency,EPM_fullopen_freq,EPM_fullopen_secs,EPM_fullopen_latency
TK2,TK21,FSL,Prebiotics,360,366,386,388,391,2459.3,8.19767,80,115,105,60,75,165,17,62,14,187,4,11,209,1
TK2,TK22,FSL,Prebiotics,375,390,408,411,411,1854.96,6.60126,100,110,90,45,75,180,11,99,8,134,0,10,145,0
WV3,WV31,FSL,Prebiotics,359,355,374,362,355,1975.04,6.71782,65,60,175,10,75,215,20,101,11,80,8,9,95,8
WV3,WV32,FSL,Prebiotics,349,361,381,385,385,1761.7,6.5735,90,60,150,60,55,185,15,121,11,116,0,11,131,0
TV4,TV41,FSL,Control,320,337,356,359,360,1749.78,6.0546,95,165,40,120,110,70,14,105,11,110,0,16,123,0
TV4,TV42,FSL,Control,279,296,319,307,313,1987.29,6.82918,95,150,55,80,180,40,9,140,7,99,35,7,102,35
WV6,WV61,FRL,Control,347,371,394,402,412,1540.78,5.36859,75,220,5,145,130,25,11,149,4,81,0,6,90,0
WV6,WV62,FRL,Control,355,380,400,406,411,1352.57,4.58499,90,150,60,205,25,70,12,184,6,30,55,7,39,0
LI5,LI51,FRL,Control,352,380,411,413,417,1069.11,3.56369,65,195,40,160,115,25,7,118,4,103,0,4,108,0
LI5,LI52,FRL,Control,342,373,384,385,388,1825.47,6.56643,75,170,55,150,125,25,8,173,3,12,45,3,12,45
NS5,NS51,FSL,Prebiotics,282,293,301,303,306,1766.82,5.92892,110,100,90,120,110,70,16,180,4,35,1,10,51,1
NS5,NS52,FSL,Prebiotics,334,342,359,359,353,1905.3,6.56999,145,110,45,220,65,15,16,148,4,20,49,5,22,49
NK9,NK91,FSL,Prebiotics,303,309,331,332,334,2554.9,8.84049,135,80,85,85,160,55,15,101,12,143,0,13,157,0
NK9,NK92,FSL,Prebiotics,316,324,345,346,358,1689.95,5.92965,145,60,95,90,135,75,11,151,5,60,42,5,65,42
TN0,TN01,FRL,Prebiotics,407,429,450,460,460,1012.61,3.44426,100,125,75,170,105,25,13,129,7,125,0,10,138,0
TN0,TN02,FRL,Prebiotics,402,431,449,450,457,1532.51,5.17739,95,125,80,200,80,20,9,130,7,83,40,6,91,40
UM7,UM71,FRL,Prebiotics,379,409,442,450,457,1311.58,4.40126,105,160,35,240,60,0,5,69,12,162,0,10,189,0
UM7,UM72,FRL,Prebiotics,361,393,425,430,432,1425.27,4.88107,130,135,35,190,40,70,19,190,2,12,18,2,15,18
VG6,VG61,FRL,Control,338,368,397,407,411,1367.48,4.61986,110,165,25,210,90,0,4,60,5,141,0,5,153,0
VG6,VG62,FRL,Control,312,343,365,367,369,1119.32,3.91369,90,170,40,170,105,25,7,128,6,125,0,7,129,0
AJ7,AJ71,FSL,Control,355,370,376,382,388,1991.5,6.75083,50,235,15,85,120,95,16,180,8,62,57,9,71,42
AJ7,AJ72,FSL,Control,262,265,264,265,367,1951.31,6.68257,40,175,85,65,75,160,15,215,7,39,81,9,44,47
KH1,KH11,FSL,Control,349,371,387,392,399,1863.09,6.6067,65,140,95,55,160,85,8,195,5,31,114,15,53,76
KH1,KH12,FSL,Control,300,309,328,336,334,2386.65,8.31586,135,105,60,100,60,140,11,169,10,76,55,11,88,48
CF2,CF21,FSL,Control,309,324,341,345,343,2479.16,8.46128,80,140,80,130,100,70,14,164,7,89,58,7,99,57
CF2,CF22,FSL,Control,262,282,302,308,306,1792.27,6.05496,75,110,115,85,185,30,16,210,4,40,77,5,47,47
HU6,HU61,FRL,Prebiotics,393,434,445,448,451,1165.35,3.91056,25,240,35,100,110,90,10,106,7,185,42,5,202,42
HU6,HU62,FRL,Prebiotics,374,404,420,424,431,1118.96,3.7549,40,185,75,165,85,50,13,149,7,108,40,6,126,38
ZM0,ZM01,FRL,Control,367,406,423,427,433,1548.36,5.45197,40,185,75,110,130,60,9,143,6,113,0,6,119,0
ZM0,ZM02,FRL,Control,252,270,284,292,294,1049.11,3.63015,50,170,80,105,120,75,7,158,5,110,46,6,118,42
ZI3,ZI31,FRL,Prebiotics,372,401,420,426,430,1638.07,5.46025,70,190,40,140,110,50,9,197,6,43,37,6,52,35
ZI3,ZI32,FRL,Prebiotics,358,385,413,424,432,589.718,1.98558,125,140,35,240,45,15,10,163,9,93,45,6,105,45
IE3,IE31,FSL,Prebiotics,330,354,370,378,380,2033.36,6.89274,140,80,80,150,75,75,13,197,6,68,79,9,84,49
IE3,IE32,FSL,Prebiotics,360,372,390,386,386,2082.49,7.05928,80,75,145,115,50,135,19,203,3,29,82,3,33,82
WQ7,WQ71,FSL,Control,299,328,352,361,360,2058.87,6.86289,45,140,115,115,70,115,13,166,9,49,59,11,67,39
WQ7,WQ72,FSL,Control,329,347,371,378,380,1765.81,5.9858,115,135,50,175,110,15,16,163,9,70,50,11,86,42
QN0,QN01,FSL,Prebiotics,313,341,363,367,371,2099.32,7.18946,95,70,135,130,115,55,11,217,3,28,51,6,37,41
QN0,QN02,FSL,Prebiotics,329,349,367,374,373,1986.9,7.02085,65,110,125,100,90,110,15,172,10,67,85,9,95,52
SS4,SS41,FRL,Prebiotics,405,438,475,478,479,1358.24,4.68357,110,160,30,210,40,50,13,215,6,49,73,9,66,45
SS4,SS42,FRL,Prebiotics,419,450,476,481,489,1744.76,6.10056,130,140,30,155,85,60,12,251,3,12,162,5,20,134
SH1,SH11,FRL,Prebiotics,335,380,396,405,407,1212.4,4.22439,135,135,30,120,70,110,12,142,10,74,51,13,89,41
SH1,SH12,FRL,Prebiotics,316,355,373,380,387,1660.61,5.6676,75,140,85,90,80,130,13,231,4,33,50,4,46,47
HC0,HC01,FSL,Control,329,349,366,366,366,1323.03,4.4101,120,130,50,155,90,55,12,179,4,43,63,10,55,38
HC0,HC02,FSL,Control,369,386,402,356,382,1886.1,6.66465,55,110,135,195,65,40,15,164,13,72,49,11,87,45
WB0,WB02,FSL,Control,320,340,360,372,380,1074.33,3.76959,105,55,140,120,90,90,17,204,7,29,2,7,39,2
QS6,QS61,FSL,Prebiotics,305,332,342,347,353,1534.56,5.11519,75,140,85,95,125,80,19,198,7,28,64,12,49,46
QS6,QS62,FSL,Prebiotics,290,306,320,330,336,1670.48,5.966,100,85,115,140,85,75,9,151,5,83,56,8,94,47
OW9,OW91,FRL,Control,352,375,393,393,402,1481.46,4.93821,35,195,70,180,75,45,8,130,8,150,55,10,175,48
OW9,OW92,FRL,Control,377,398,432,441,447,1402.36,4.85245,45,175,80,140,110,50,13,218,4,46,56,7,62,39
YB4,YB41,FRL,Control,334,379,401,403,415,1037.55,3.64051,40,190,70,195,75,30,9,207,4,32,74,8,46,57
YB4,YB42,FRL,Control,243,259,281,285,290,1431.42,5.22417,40,205,55,110,150,40,10,194,4,51,69,4,53,69
BL8,BL81,FRL,Control,329,363,378,380,387,1812.62,6.04205,70,150,80,185,55,60,9,203,5,65,61,6,76,61
BL8,BL82,FRL,Control,368,414,444,449,458,1616.99,5.44441,75,165,60,185,60,55,13,217,6,35,58,9,44,37
BJ0,BJ01,FSL,Control,342,348,350,354,354,1738.64,5.95424,40,130,130,150,110,40,13,202,1,4,142,5,9,142
BJ0,BJ02,FSL,Control,336,341,357,363,363,1271.77,4.40058,85,140,75,130,105,65,15,201,6,52,84,5,57,84
II1,II11,FSL,Prebiotics,330,343,363,366,366,2077.64,7.09091,60,125,115,100,125,75,14,243,0,0,0,6,11,36
II1,II12,FSL,Prebiotics,332,345,365,368,375,1615.6,6.48837,65,110,125,65,115,120,15,162,6,62,118,9,74,40
CX7,CX71,FRL,Prebiotics,399,425,445,448,453,1485.49,5.01854,65,205,30,140,75,85,14,156,10,80,44,11,135,43
CX7,CX72,FRL,Prebiotics,415,450,478,484,487,1077.06,3.66348,90,125,85,150,90,60,9,161,4,58,53,8,83,41
TW2,TW21,FRL,Control,325,367,395,400,410,1764.01,6.1895,130,115,55,90,110,100,11,149,6,45,56,10,71,41
TW2,TW22,FRL,Control,341,373,402,410,414,2008.98,7.30537,90,150,60,215,50,35,12,186,4,59,51,7,73,43
QM6,QM61,FRL,Prebiotics,332,380,407,415,419,1279.31,4.36624,110,170,20,175,30,95,14,243,3,18,90,4,30,36
QM6,QM62,FRL,Prebiotics,332,367,383,392,392,1301.95,4.60055,160,60,80,135,85,80,9,120,6,130,0,6,139,0
